"","Province.State","SNo","ObservationDate","Country.Region","Last.Update","Confirmed","Deaths","Recovered","lat","lng"
"57","Anhui",8082,"03/23/2020","China","2020-03-23 23:23:20",990,6,984,30.6007,117.9249
"58","Anhui",5649,"03/15/2020","China","2020-03-11T02:18:14",990,6,984,30.6007,117.9249
"59","Anhui",16595,"04/19/2020","China","2020-04-19 23:49:05",991,6,984,30.6007,117.9249
"60","Anhui",566,"02/02/2020","China","2020-02-02T18:03:05",340,0,7,30.6007,117.9249
"61","Anhui",8379,"03/24/2020","China","2020-03-24 23:41:50",990,6,984,30.6007,117.9249
"62","Anhui",843,"02/06/2020","China","2020-02-06T13:33:02",591,0,34,30.6007,117.9249
"63","Anhui",4731,"03/11/2020","China","2020-03-11T02:18:14",990,6,984,30.6007,117.9249
"64","Anhui",1129,"02/10/2020","China","2020-02-10T07:23:04",830,3,88,30.6007,117.9249
"65","Anhui",1646,"02/17/2020","China","2020-02-17T09:13:07",973,6,280,30.6007,117.9249
"66","Anhui",11794,"04/04/2020","China","4/4/20 9:38",990,6,984,30.6007,117.9249
"67","Anhui",1421,"02/14/2020","China","2020-02-14T12:53:02",934,6,193,30.6007,117.9249
"68","Anhui",499,"02/01/2020","China","2/1/2020 13:33",297,0,5,30.6007,117.9249
"69","Anhui",1721,"02/18/2020","China","2020-02-18T13:43:02",982,6,361,30.6007,117.9249
"70","Anhui",4947,"03/12/2020","China","2020-03-11T02:18:14",990,6,984,30.6007,117.9249
"71","Anhui",12112,"04/05/2020","China","2020-04-05 23:13:44",990,6,984,30.6007,117.9249
"72","Anhui",2032,"02/22/2020","China","2020-02-22T07:43:03",989,6,597,30.6007,117.9249
"73","Anhui",1057,"02/09/2020","China","2020-02-09T09:33:02",779,1,72,30.6007,117.9249
"74","Anhui",6744,"03/19/2020","China","2020-03-11T02:18:14",990,6,984,30.6007,117.9249
"75","Anhui",9292,"03/27/2020","China","2020-03-27 23:27:48",990,6,984,30.6007,117.9249
"76","Anhui",14675,"04/13/2020","China","2020-04-13 23:15:42",991,6,984,30.6007,117.9249
"77","Anhui",2826,"03/01/2020","China","2020-03-01T10:03:03",990,6,873,30.6007,117.9249
"78","Anhui",13072,"04/08/2020","China","2020-04-08 22:59:00",990,6,984,30.6007,117.9249
"79","Anhui",6183,"03/17/2020","China","2020-03-11T02:18:14",990,6,984,30.6007,117.9249
"80","Anhui",3404,"03/05/2020","China","2020-03-05T04:33:02",990,6,970,30.6007,117.9249
"81","Anhui",1948,"02/21/2020","China","2020-02-21T10:13:09",988,6,539,30.6007,117.9249
"82","Anhui",2707,"02/29/2020","China","2020-02-29T05:03:13",990,6,868,30.6007,117.9249
"83","Anhui",13392,"04/09/2020","China","2020-04-09 23:09:19",991,6,984,30.6007,117.9249
"84","Anhui",7039,"03/20/2020","China","2020-03-11T02:18:14",990,6,984,30.6007,117.9249
"85","Anhui",5159,"03/13/2020","China","2020-03-11T02:18:14",990,6,984,30.6007,117.9249
"86","Anhui",5398,"03/14/2020","China","2020-03-11T02:18:14",990,6,984,30.6007,117.9249
"87","Anhui",10850,"04/01/2020","China","2020-04-01 22:04:58",990,6,984,30.6007,117.9249
"88","Anhui",15955,"04/17/2020","China","2020-04-17 23:38:48",991,6,984,30.6007,117.9249
"89","Anhui",5909,"03/16/2020","China","2020-03-11T02:18:14",990,6,984,30.6007,117.9249
"90","Anhui",132,"01/25/2020","China","1/25/20 17:00",39,0,0,30.6007,117.9249
"91","Beijing",6195,"03/17/2020","China","2020-03-17T10:53:03",456,8,369,40.2374,116.2305
"92","Beijing",1956,"02/21/2020","China","2020-02-21T01:03:09",396,4,169,40.2374,116.2305
"93","Beijing",443,"01/31/2020","China","1/31/2020 23:59",139,1,5,40.2374,116.2305
"94","Beijing",1804,"02/19/2020","China","2020-02-19T04:53:02",393,4,145,40.2374,116.2305
"95","Beijing",8990,"03/26/2020","China","2020-03-26 23:53:24",566,8,406,40.2374,116.2305
"96","Beijing",2835,"03/01/2020","China","2020-03-01T02:53:03",413,8,276,40.2374,116.2305
"97","Beijing",2716,"02/29/2020","China","2020-02-29T03:33:02",411,8,271,40.2374,116.2305
"98","Beijing",4268,"03/09/2020","China","2020-03-09T01:53:01",428,8,315,40.2374,116.2305
"99","Beijing",2300,"02/25/2020","China","2020-02-25T01:33:02",400,4,215,40.2374,116.2305
"100","Beijing",3413,"03/05/2020","China","2020-03-04T23:23:01",418,8,297,40.2374,116.2305
"101","Beijing",1880,"02/20/2020","China","2020-02-20T01:43:01",395,4,153,40.2374,116.2305
"102","Beijing",131,"01/25/2020","China","1/25/20 17:00",41,0,2,40.2374,116.2305
